姓名,科目1,科目2,科目3,科目4,科目5,科目6,科目7
李淑芳,50,97,63,55,96,80,76
謝哲維,91,60,51,95,50,58,80
陳嘉淑,50,53,45,92,98,54,93
吳晴洋,100,69,98,74,59,58,41
黃嘉琪,94,87,89,49,75,82,86
鄧淑娟,49,47,59,54,58,84,83
方筠紹,70,53,68,86,64,68,77
張雅芬,74,52,85,94,59,82,67
呂傑宣,62,52,57,79,43,88,94
林世城,73,91,44,94,48,78,42
馬彥文,46,56,48,54,74,56,85
張俊傑,44,56,42,45,94,69,98
黃善迪,40,72,48,54,80,52,48
賴昌韻,71,64,89,76,69,47,71
黃佩芬,99,79,71,94,57,92,48
賴苑禾,55,90,97,71,79,49,54
郭致恬,80,55,99,51,80,40,46
吳振瑋,49,89,99,99,97,99,92
王怡珊,82,59,58,43,58,84,83
蕭怡伶,50,86,96,75,85,53,44
蔡偉成,50,68,83,100,57,48,69
陳逸華,58,59,52,76,96,40,86
崔孝憲,60,92,86,60,85,64,51
吳昕婷,63,74,70,72,50,45,68
林瑞喬,95,90,50,78,74,60,64
蕭淑華,88,44,91,80,82,54,60
蘇婷婷,45,94,63,41,83,77,40
王坤安,48,50,77,41,86,70,100
林珈發,97,47,80,56,58,96,88
吳俐芷,50,100,74,72,51,82,95
溫重意,68,49,42,78,87,69,90
李立偉,77,71,66,84,92,51,70
林希啟,99,61,83,83,83,49,66
馬彥文,60,52,60,98,56,96,47
李蓉瑞,94,61,100,45,65,58,50
羅幸娥,89,40,78,55,79,46,99
趙家豪,93,75,60,43,99,63,78
蔡偉成,46,59,63,88,96,64,91
簡佳樺,96,70,88,44,65,82,71
黃佩芬,68,68,92,47,64,72,85
游淑惠,62,49,66,82,88,62,53
游治旺,63,63,95,79,84,87,94
張軒宸,78,95,42,98,86,87,97
林群清,73,75,77,40,91,52,78
蒙淑惠,49,66,97,84,87,98,49
蔡偉成,91,73,93,73,73,57,45
陳姵彬,57,76,57,50,42,66,71
黎惠雯,51,43,46,58,70,58,40
王明昇,82,48,55,81,72,81,65
黃善迪,64,42,58,96,68,55,74
